department,city,zip
Amazonas,El Encanto,91263
Amazonas,La Chorrera,91405
Amazonas,La Pedrera,91407
Amazonas,La Victoria,91430
Amazonas,Leticia,91001
Amazonas,Mirití - Paraná ,91460
Amazonas,Puerto Alegría,91530
Amazonas,Puerto Arica,91536
Amazonas,Puerto Nariño,91540
Amazonas,Puerto Santander,91669
Amazonas,Tarapacá,91798
Antioquia,Abejorral,5002
Antioquia,Abriaquí,5004
Antioquia,Alejandría,5021
Antioquia,Amagá,5030
Antioquia,Amalfi,5031
Antioquia,Andes,5034
Antioquia,Angelópolis,5036
Antioquia,Angostura,5038
Antioquia,Anorí,5040
Antioquia,Anzá,5044
Antioquia,Apartadó,5045
Antioquia,Arboletes,5051
Antioquia,Argelia,5055
Antioquia,Armenia,5059
Antioquia,Barbosa,5079
Antioquia,Bello,5088
Antioquia,Belmira,5086
Antioquia,Betania,5091
Antioquia,Betulia,5093
Antioquia,Briceño,5107
Antioquia,Buriticá,5113
Antioquia,Cáceres,5120
Antioquia,Caicedo,5125
Antioquia,Caldas,5129
Antioquia,Campamento,5134
Antioquia,Cañasgordas,5138
Antioquia,Caracolí ,5142
Antioquia,Caramanta,5145
Antioquia,Carepa,5147
Antioquia,Carolina,5150
Antioquia,Caucasia,5154
Antioquia,Chigorodó,5172
Antioquia,Cisneros,5190
Antioquia,Ciudad Bolívar,5101
Antioquia,Cocorná,5197
Antioquia,Concepción,5206
Antioquia,Concordia,5209
Antioquia,Copacabana,5212
Antioquia,Dabeiba,5234
Antioquia,Donmatías,5237
Antioquia,Ebéjico,5240
Antioquia,El Bagre,5250
Antioquia,El Carmen De Viboral,5148
Antioquia,El Santuario,5697
Antioquia,Entrerríos,5264
Antioquia,Envigado,5266
Antioquia,Fredonia,5282
Antioquia,Frontino,5284
Antioquia,Giraldo,5306
Antioquia,Girardota,5308
Antioquia,Gómez Plata,5310
Antioquia,Granada,5313
Antioquia,Guadalupe,5315
Antioquia,Guarne,5318
Antioquia,Guatapé,5321
Antioquia,Heliconia,5347
Antioquia,Hispania,5353
Antioquia,Itagüí,5360
Antioquia,Ituango,5361
Antioquia,Jardín,5364
Antioquia,Jericó,5368
Antioquia,La Ceja,5376
Antioquia,La Estrella,5380
Antioquia,La Pintada,5390
Antioquia,La Unión,5400
Antioquia,Liborina,5411
Antioquia,Maceo,5425
Antioquia,Marinilla,5440
Antioquia,Medellín,5001
Antioquia,Montebello,5467
Antioquia,Murindó,5475
Antioquia,Mutatá,5480
Antioquia,Nariño,5483
Antioquia,Nechí,5495
Antioquia,Necoclí,5490
Antioquia,Olaya,5501
Antioquia,Peñol,5541
Antioquia,Peque,5543
Antioquia,Pueblorrico,5576
Antioquia,Puerto Berrío,5579
Antioquia,Puerto Nare,5585
Antioquia,Puerto Triunfo,5591
Antioquia,Remedios,5604
Antioquia,Retiro,5607
Antioquia,Rionegro,5615
Antioquia,Sabanalarga,5628
Antioquia,Sabaneta,5631
Antioquia,Salgar,5642
Antioquia,San Andrés De Cuerquía,5647
Antioquia,San Carlos,5649
Antioquia,San Francisco,5652
Antioquia,San Jerónimo,5656
Antioquia,San José De La Montaña,5658
Antioquia,San Juan De Urabá,5659
Antioquia,San Luis,5660
Antioquia,San Pedro De Los Milagros,5664
Antioquia,San Pedro De Urabá,5665
Antioquia,San Rafael,5667
Antioquia,San Roque,5670
Antioquia,San Vicente Ferrer,5674
Antioquia,Santa Bárbara,5679
Antioquia,Santa Fé De Antioquia,5042
Antioquia,Santa Rosa De Osos,5686
Antioquia,Santo Domingo,5690
Antioquia,Segovia,5736
Antioquia,Sonsón,5756
Antioquia,Sopetrán,5761
Antioquia,Támesis,5789
Antioquia,Tarazá,5790
Antioquia,Tarso,5792
Antioquia,Titiribí,5809
Antioquia,Toledo,5819
Antioquia,Turbo,5837
Antioquia,Uramita,5842
Antioquia,Urrao,5847
Antioquia,Valdivia,5854
Antioquia,Valparaíso,5856
Antioquia,Vegachí,5858
Antioquia,Venecia,5861
Antioquia,Vigía Del Fuerte,5873
Antioquia,Yalí,5885
Antioquia,Yarumal,5887
Antioquia,Yolombó,5890
Antioquia,Yondó,5893
Antioquia,Zaragoza,5895
Arauca,Arauca,81001
Arauca,Arauquita,81065
Arauca,Cravo Norte,81220
Arauca,Fortul,81300
Arauca,Puerto Rondón,81591
Arauca,Saravena,81736
Arauca,Tame,81794
Atlántico,Baranoa,8078
Atlántico,Barranquilla,8001
Atlántico,Campo De La Cruz,8137
Atlántico,Candelaria,8141
Atlántico,Galapa,8296
Atlántico,Juan De Acosta,8372
Atlántico,Luruaco,8421
Atlántico,Malambo,8433
Atlántico,Manatí,8436
Atlántico,Palmar De Varela,8520
Atlántico,Piojó,8549
Atlántico,Polonuevo,8558
Atlántico,Ponedera,8560
Atlántico,Puerto Colombia,8573
Atlántico,Repelón,8606
Atlántico,Sabanagrande,8634
Atlántico,Sabanalarga,8638
Atlántico,Santa Lucía,8675
Atlántico,Santo Tomás,8685
Atlántico,Soledad,8758
Atlántico,Suan,8770
Atlántico,Tubará,8832
Atlántico,Usiacurí,8849
"Bogotá, D.C","Bogotá, D.c.",11001
Bolívar,Achí,13006
Bolívar,Altos Del Rosario,13030
